# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_design_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 310; 62.5814; 455.192; 
0.74; 315; 62.5814; 459.085; 
0.74; 320; 62.5814; 462.586; 
0.74; 325; 62.5814; 465.658; 
0.74; 330; 62.5814; 468.346; 
0.74; 335; 62.5814; 470.228; 
0.74; 340; 62.5814; 471.032; 
0.74; 345; 62.5814; 471.1; 
0.74; 350; 62.5814; 470.353; 
0.74; 355; 62.5814; 468.835; 
0.74; 360; 62.5814; 466.387; 
0.74; 365; 62.5814; 462.811; 
0.74; 370; 62.5814; 457.898; 
0.74; 375; 62.5814; 450.11; 
0.74; 380; 62.5814; 441.169; 
0.74; 385; 62.5814; 431.29; 
0.74; 390; 62.5814; 420.162; 
0.74; 395; 62.5814; 402.358; 
0.74; 400; 62.5814; 384.072; 
0.74; 405; 62.5814; -nan(ind); 
0.74; 260; 63.8586; 402.544; 
0.74; 265; 63.8586; 407.767; 
0.74; 270; 63.8586; 412.895; 
0.74; 275; 63.8586; 417.978; 
0.74; 280; 63.8586; 422.964; 
0.74; 285; 63.8586; 427.767; 
0.74; 290; 63.8586; 432.485; 
0.74; 295; 63.8586; 437.101; 
0.74; 300; 63.8586; 441.439; 
0.74; 305; 63.8586; 445.539; 
0.74; 310; 63.8586; 449.448; 
0.74; 315; 63.8586; 452.934; 
0.74; 320; 63.8586; 455.928; 
0.74; 325; 63.8586; 458.617; 
0.74; 330; 63.8586; 460.634; 
0.74; 335; 63.8586; 461.553; 
0.74; 340; 63.8586; 461.714; 
0.74; 345; 63.8586; 461.187; 
0.74; 350; 63.8586; 459.822; 
0.74; 355; 63.8586; 457.57; 
0.74; 360; 63.8586; 454.431; 
0.74; 365; 63.8586; 450.089; 
0.74; 370; 63.8586; 442.68; 
0.74; 375; 63.8586; 434.109; 
0.74; 380; 63.8586; 424.537; 
0.74; 385; 63.8586; 413.827; 
0.74; 390; 63.8586; 397.448; 
0.74; 395; 63.8586; 379.434; 
0.74; 400; 63.8586; -nan(ind); 
0.74; 405; 63.8586; -nan(ind); 
0.74; 260; 65.1357; 399.255; 
0.74; 265; 65.1357; 404.294; 
0.74; 270; 65.1357; 409.211; 
0.74; 275; 65.1357; 414.077; 
0.74; 280; 65.1357; 418.847; 
0.74; 285; 65.1357; 423.425; 
0.74; 290; 65.1357; 427.903; 
0.74; 295; 65.1357; 432.262; 
0.74; 300; 65.1357; 436.265; 
0.74; 305; 65.1357; 440.069; 
0.74; 310; 65.1357; 443.621; 
0.74; 315; 65.1357; 446.607; 
0.74; 320; 65.1357; 449.239; 
0.74; 325; 65.1357; 451.354; 
0.74; 330; 65.1357; 452.456; 
0.74; 335; 65.1357; 452.74; 
0.74; 340; 65.1357; 452.307; 
0.74; 345; 65.1357; 451.183; 
0.74; 350; 65.1357; 449.178; 
0.74; 355; 65.1357; 446.216; 
0.74; 360; 65.1357; 442.392; 
0.74; 365; 65.1357; 435.638; 
